Linear Regression,Non-Linear Regression 1,Non-Linear Regression 2
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2997.847405083446,-3109.969139099121,-3449.552134057334
-2756.077349955386,-2796.3380813598633,-3192.230685615747
-2877.975394147768,-3063.75789642334,-3303.0402678735454
-2880.4165282723075,-3175.45223236084,-3237.0556070657326
-2206.9224210867637,-2219.0322875976562,-2518.040840717329
-1828.284420916231,-1536.7326736450195,-2151.8280932805765
-1757.6622177423012,-1415.116310119629,-2100.731033728363
-1915.3671978038606,-1625.6532669067383,-2313.2310291034914
-3015.139389921134,-3216.7110443115234,-3421.7701696876834
-2429.3254108853193,-2396.747589111328,-2759.0891454502807
-2887.89745631725,-3231.2450408935547,-3181.734066362498
-3991.105285847043,-4489.039421081543,-4312.681463713479
-3468.139837121344,-4042.316436767578,-3829.2838128800017
-3004.8949899514337,-3537.322998046875,-3367.5074646406906
-3336.625433675799,-3813.6463165283203,-3687.847723338481
-3347.529684188663,-3844.7484970092773,-3688.3993888078207
-2309.9108610395688,-2624.004364013672,-2742.571261580112
-2523.5345904838246,-2840.412139892578,-3022.940244565617
-2226.383038611841,-2432.4445724487305,-2681.9716631629462
-2260.059192933639,-2503.037452697754,-2730.6618298059816
-2284.827400975445,-2504.673957824707,-2764.212025223197
-2158.0098505702913,-2201.1709213256836,-2625.576910525865
-2634.0874119592095,-2780.1618576049805,-3146.6026425123696
-2751.306279550827,-3022.1614837646484,-3280.819777657485
-3414.5068872808924,-3874.7634887695312,-3929.609989764529
-3067.5945910603073,-3477.842330932617,-3557.5204361040496
-3335.971733363015,-3773.829460144043,-3865.4368711584825
-3995.9101352132016,-4379.711151123047,-4574.951124928857
-3731.7831314741697,-4154.95491027832,-4269.227879506503
-3806.2511883645234,-4226.245880126953,-4368.069228365566
-3574.1624433531742,-3976.3383865356445,-4135.985707410076
-3240.686683691407,-3483.3984375,-3774.431471856239
-3580.131157725227,-3899.3682861328125,-4168.561298685175
-3228.1825716749204,-3476.7723083496094,-3792.161990347498
-3468.861499016586,-3791.1415100097656,-4028.0048759499837
-3505.6877306274623,-3825.0904083251953,-4068.938103515031
-3479.245672286759,-3716.938018798828,-4074.813930025961
-3515.3104854287776,-3689.809799194336,-4130.362622562119
-3422.4046999529855,-3618.009567260742,-4022.7852023439996
-3489.1288135970262,-3635.4618072509766,-4110.893085187842
-3465.431518988128,-3621.1366653442383,-4097.6715530667425
-3526.4110631398194,-3681.544303894043,-4188.415221953889
-3434.586754686275,-3588.4437561035156,-4108.118798631544
-3289.354697651864,-3433.842658996582,-3952.8100588461903
-3234.9318179783963,-3363.0552291870117,-3923.679995166589
-3190.366525099941,-3327.5985717773438,-3863.0869830522197
-2573.4819482033367,-2516.8561935424805,-3219.021987204287
-2569.3633344192112,-2510.533332824707,-3230.8585815861647
-2842.391578842496,-2877.35652923584,-3526.307311806263
-2763.2331093665243,-2793.654441833496,-3434.5577199016943
-2483.353639743194,-2396.604537963867,-3134.966858859473
-2091.0124496142894,-1870.9774017333984,-2744.6057686516597
-1910.7031509831043,-1615.2734756469727,-2538.7087671596473
-1856.8287744350484,-1551.621437072754,-2477.8418225851383
-1894.3256833302578,-1603.363037109375,-2507.1154057610265
-2329.805741222689,-2179.1839599609375,-2955.433828625692
-2073.445422066076,-2138.2999420166016,-2611.2558859266505
-1922.5386673524831,-1549.530029296875,-2367.824518450574
-1633.032782450645,-1554.3222427368164,-2168.042841754166
-1691.4357586398721,-1709.0177536010742,-2415.64215332419
-1659.0942856028876,-1657.5794219970703,-2419.299913747335
-1641.3762157460349,-1539.536476135254,-2451.772374883157
-2445.8984222393715,-2605.5707931518555,-3269.676295542596
-2196.5288852158137,-2286.005973815918,-3010.3405388680812
-2792.8632958420194,-3082.712173461914,-3599.9054178969436
-2948.2284667446465,-3294.8827743530273,-3752.7608391994027
-2639.6187311016297,-2818.7828063964844,-3471.9467931878
-2638.6751410040356,-2720.2720642089844,-3492.2934890968404
-3201.0899626974665,-3454.8797607421875,-4108.634608621876
-3025.860795253129,-3268.627166748047,-4030.8849185270137
